x,y,z
-1222.68,90.19,0
-1221.2,82.7856,0
-1221.65,75.7592,0
-1222.08,68.4964,0
-1220.46,61.3648,0
-1222.79,54.4323,0
-1223.09,47.1628,0
-1225.34,40.192,0
-1223.56,32.7366,0
-1223.73,25.8151,0
-1223.86,18.4232,0
-1223.95,11.3826,0
-1225.99,4.34903,0
-1228,-2.9434,-0
-1229.97,-8.96219,-0
-1229.9,-16.0372,-0
-1227.76,-24.3691,-0
-1227.59,-31.7843,-0
-1227.39,-38.7276,-0
-1227.15,-45.7876,-0
-1226.85,-53.1988,-0
-1230.57,-59.3896,-0
-1230.21,-66.4672,-0
-1229.79,-73.7786,-0
-1229.34,-80.8515,-0
-1228.86,-87.922,-0
-1230.31,-95.3797,-0
-1231.73,-102.621,-0
-1233.08,-110.237,-0
-1230.45,-117.021,-0
-1229.72,-124.451,-0
-1230.97,-131.735,-0
-1232.19,-138.92,-0
-1233.32,-146.596,-0
-1232.45,-153.688,-0
-1233.5,-161.271,-0
-1232.55,-168.364,-0
-1233.49,-176.088,-0
-1236.44,-183.65,-0
-1235.3,-191.115,-0
-1236.16,-198.535,-0
-1234.96,-205.879,-0
-1233.75,-212.98,-0
-1234.41,-220.78,-0
-1235.11,-228.122,-0
-1235.74,-235.598,-0
-1234.3,-243.057,-0
-1234.86,-250.433,-0
-1237.24,-258.706,-0
-1237.69,-266.239,-0
-1238.04,-274.023,-0
-1238.39,-281.584,-0
-1240.56,-289.969,-0
-1240.85,-297.448,-0
-1240.97,-305.415,-0
-1239.19,-312.549,-0
-1241.28,-320.553,-0
-1241.25,-328.557,-0
-1241.27,-336.214,-0
-1241.18,-344.121,-0
-1243.03,-352.346,-0
-1245.13,-359.529,-0
-1242.94,-367.043,-0
-1242.76,-374.645,-0
-1244.29,-383.323,-0
-1245.88,-391.673,-0
-1243.65,-398.714,-0
-1243.12,-406.841,-0
-1244.55,-415.251,-0
-1243.96,-423.286,-0
-1245.28,-431.745,-0
-1246.42,-440.592,-0
-1245.79,-448.312,-0
-1246.81,-457.206,-0
-1247.91,-465.769,-0
-1246.99,-473.889,-0
-1244.24,-481.054,-0
-1245.04,-490.026,-0
-1247.82,-499.289,-0
-1248.63,-507.967,-0
-1247.39,-516.264,-0
-1248.13,-524.862,-0
-1250.46,-534.75,-0
-1251.03,-543.529,-0
-1249.61,-551.763,-0
-1250.54,-559.5,-0
-1252.77,-569.166,-0
-1254.75,-579.237,-0
-1253.21,-587.294,-0
-1253.48,-596.092,-0
-1253.46,-605.391,-0
-1255.35,-615.232,-0
-1253.46,-623.574,-0
-1253.42,-632.576,-0
-1256.76,-643.663,-0
-1256.58,-652.725,-0
-1256.16,-662.168,-0
-1255.86,-671.269,-0
-1257.12,-681.582,-0
-1258.43,-691.692,-0
-1257.93,-700.866,-0
-1258.96,-711.283,-0
-1258.95,-719.415,-0
-1259.98,-729.652,-0
-1262.45,-741.299,-0
-1265.11,-752.518,-0
-1263.97,-762.212,-0
-1264.68,-772.598,-0
-1265.17,-783.26,-0
-1264.03,-792.649,-0
-1264.51,-803.125,-0
-1264.76,-813.873,-0
-1265.09,-824.411,-0
-1266.76,-836.446,-0
-1267,-846.932,-0
-1266.83,-857.934,-0
-1266.82,-868.6,-0
-1265.84,-877.061,-0
-1268.79,-890.314,-0
-1271.8,-903.389,-0
-1273.08,-915.36,-0
-1272.47,-926.443,-0
-1271.95,-937.307,-0
-1271.07,-948.561,-0
-1273.58,-961.884,-0
-1275.78,-975.511,-0
-1276.47,-987.73,-0
-1275.3,-999,-0
-1275.81,-1011.29,-0
-1277.47,-1025.24,-0
-1280.51,-1037.4,-0
-1278.86,-1048.92,-0
-1279.06,-1061.24,-0
-1280.29,-1075.38,-0
-1281.7,-1089.2,-0
-1282.79,-1103.32,-0
-1282.45,-1115.94,-0
-1281.69,-1128.95,-0
-1282.75,-1142.83,-0
-1285.07,-1158.23,-0
-1285.44,-1172.71,-0
-1284.66,-1185.39,-0
-1286.05,-1198.59,-0
-1287.64,-1214.45,-0
-1287.86,-1228.74,-0
-1287.73,-1243.32,-0
-1289.14,-1259.09,-0
-1291.84,-1276.33,-0
-1292.59,-1292.59,-0
-1293.7,-1308.42,-0
-1295.55,-1326.22,-0
-1297.63,-1343.72,-0
-1297.9,-1360.09,-0
-1299.48,-1375.14,-0
-1301.1,-1392.83,-0
-1302.57,-1410.57,-0
-1303.6,-1428.63,-0
-1304.73,-1446.5,-0
-1302.63,-1461.82,-0
-1304.91,-1481.17,-0
-1305.13,-1499.59,-0
-1305.62,-1517.69,-0
-1308.23,-1539.14,-0
-1309.65,-1558.89,-0
-1312.24,-1577.57,-0
-1313.3,-1597.45,-0
-1313.72,-1617.78,-0
-1314.56,-1637.66,-0
-1314.59,-1658.11,-0
-1314.89,-1678.24,-0
-1317.14,-1701.84,-0
-1319.47,-1725.27,-0
-1321.59,-1748.79,-0
-1320.74,-1769.44,-0
-1320.03,-1789.88,-0
-1323.06,-1812.47,-0
-1323.78,-1836.65,-0
-1327.29,-1863.66,-0
-1329.82,-1891.28,-0
-1328.04,-1912.04,-0
-1328.34,-1936.14,-0
-1332.51,-1967.18,-0
-1334.52,-1994.76,-0
-1331.45,-2016.01,-0
-1332.94,-2043.74,-0
-1342.45,-2080.48,-0
-1347.05,-2115.54,-0
-1345.51,-2140.19,-0
-1346.04,-2168.15,-0
-1347.54,-2200.12,-0
-1347.28,-2228.38,-0
-1348.35,-2260.39,-0
-1349.53,-2292.24,-0
-1351.73,-2328.02,-0
-1358.43,-2370.33,-0
-1364.34,-2408.4,-0
-1362.41,-2437.03,-0
-1363.11,-2473.24,-0
-1369.88,-2519.69,-0
-1371.88,-2559.52,-0
-1373.96,-2599.2,-0
-1371.42,-2632.15,-0
-1374.54,-2675.58,-0
-1355.65,-2716.52,-0
-1337.45,-2721.07,-0
-1321.78,-2728.72,-0
-1307.79,-2739.89,-0
-1291.48,-2747.61,-0
-1275.65,-2755,-0
-1259.25,-2762.53,-0
-1233.51,-2747.83,-0
-1216.89,-2755.24,-0
-1209.26,-2780.42,-0
-1192.45,-2787.67,-0
-1163.97,-2764.99,-0
-1137.34,-2745.77,-0
-1120.99,-2752.48,-0
